,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
1,43302,1355556;1398284;1398285;1398290;1398296;1398302;1398308;1398314;1398320;1398326;1398332;1398338;1398344;1398345;1398350;1398356;1398362;1398368;1398768;1400273;1400278;2808794;2830033;2830034;6273420;6273421;6273934;6273935,ac,150,206.0200,
2,43325,1400422;1400423;2806902;6273474;6273475,ac,100,63.3200,
3,41441,1363298;1394745;2844040;2844041,ac,150,139.4400,2
4,41442,1362826;1362831;1362848;1362849;1362854;1362855;1362861;1362866;1362867;1362873;2834359;2834360,ac,80,91.0000,1
5,41455,1350436;1368851;1368857;1368858;1369596;1369601;1369602;2819639;2819640,kpe,160,121.7200,1
6,41460,1367378;1372325;1372332;1372333;2819632;2819633,ac,125,90.8200,1
7,41461,1374008;1374577;1374582;1374587;1374588;1374594;1374599;1374600;1374605;1374606;1374612;1374617;1374618;1374623;1374624;1374630;1403717;2817930;2817931;6273241;6273242,kpe,200,173.1300,
8,41463,1353318;1353323;1403189;1403195;1403207;1403213;1403706;1403707;1405266;1405267;2841524;2841525;2841852;2841853,ac,200,195.1300,2
9,41473,2817879;2817880,kpe,110,7.3200,
10,41477,1404072;1404077;1410708;1410709;2814989;2814990;2831637;2831638,ac,125,103.1500,
11,41488,6284644;6284649;6284650,kpe,160,8.5200,
12,41495,2806392;2806393,ac,250,299.8800,4
13,43918,1366457;1366458;1366464;1366469;1373593;1385940;2845722;2845723;36939957;36939958,kpe,160,243.4300,
14,43921,1356638;1356639;1366519;1366520;1373504;2845716;2845717;6274079;6274080;59199731;59199732,kpe,90,399.7100,
15,43926,1366433;1373521;1373522;1410185;1410186;6273315;6273316,kpe,110,142.4400,
16,43930,1375230;2839987;2839988;2840000;15259224;15259225,kpe,110,200.4500,
17,43931,1366787;1373779;1374475;1374476;1394214;1394219;1394220;1394430;1394431,kpe,90,263.6100,2
18,43935,2809596;2809597;2831952;64754106;64754107,kpe,110,115.8300,
19,43937,2831945;2831946,kpe,110,20.2700,
20,43947,1359280;1366721;1366722;1366727;1366732;1375977;1375978;1411233;2831877;2831878,kpe,110,186.0300,
21,43952,792261,kpe,32,28.6200,
22,43953,1366647;1366660;1366666;1366667;1366679;1366684;1366689;1366695;1366696;1366703;1366708;1405709;1405710;1410637;1410638;2831869;26931745;26931746,kpe,110,131.4700,
23,43969,1358236;1358240;1358241;1367096;1367097;1376041;1386863;1386864;1386870;1387044;1387045;1397411;1397412;1405494;1405495,kpe,160,292.8900,4
24,41002,1369608;1369613;1369619;1369626;1369633;1369640;1369647;1369653;1369654;2837891;2837892,kpe,160,239.3800,
25,41005,1351986;1351991;1353465;1353466;2837884;2837885,kpe,110,80.3900,
26,42000,1388881;2842164;2842165,kpe,110,11.3200,
27,42001,1370405;1370410;1397095;1397101;1397106;1397107;1397112;1397113;2808639;2808640;2812913;2812914;6274027;6274028,ac,100,217.5100,
28,42003,1402714;2819481;2819482;5810288;5810289,ac,100,63.5100,1
29,42004,1402692;1402693,ac,80,20.1500,
30,42006,1402223;1402227;1402228;2819455;2819456,ac,80,68.9600,
31,42009,1350161;1402673;1402677;1402678,ov,100,67.6200,
32,42034,1402942;1402947;1402952;1402953;2817817;2817818,kpe,63,145.9300,
33,42037,1394904;1394905;1402906;1402911;2817811;2817812,ac,100,62.0100,
34,41236,1355921;1403266;1403271;2819659;6273438;6273439,ac,100,44.7000,
35,41497,1353218;1353223;1353228;1353233;1353242;1353243;1353249;1353254;1353259;1353264;1353269;1353274;1353279;1353284;1353289;1353294;1353299;1353304;1353309;2841416;2841417;2841517;2841518,ac,200,167.4400,2
36,42510,2847735;2847736,kpe,90,8.2200,
37,42511,2843765;2843766,ac,80,72.1300,
38,42523,1352834;1358072;1358077;1358083;1358089;1358095;1358101;1358112;1358113;1358125;1358131;1358137;1358143;1358149;1358155;1358161;1358173;1358179;1358185;1358196;1358197;1378949;1378959;1378964;1378969;1378974;1378979;1379135;1387464;1387465;1387470;1387471;1387476;1387477;1396813;1396819;1396825;1396831;1396837;1396843;1396849;1396855;1396861;1396867;1396872;1396873;1407394;1407395;2821303;2821304,ov,80,353.7000,2
39,40742,1395539;1395542;1395543,ov,50,27.9000,
40,40743,1395615;1395620;1395624;1395625;2825545;2825546,ac,80,55.8900,1
41,40761,2841035;2841036,kpe,315,455.1500,
42,40764,1388032;1388036;2834581;2834582,kpe,110,108.9400,
43,40765,1350029;2834574;2834575,kpe,90,58.5600,
44,40768,1365349;1365353;1365358;1365363;1365368;1365373;1365378;1365383;2834588;2834589,ac,50,108.5400,1
45,40779,1377378;1401131;1401136;6274059;6274060;9355920;9355921,kpe,75,142.3800,11
46,40789,791310,ac,100,1.6900,
47,42043,1402854;1402858;1402863;1402868;1402873;1402878;2815511;2815512;2846301;2846302,ac,125,89.5900,
48,42049,2817754;2817755,kpe,63,14.9100,
49,42052,2843744;2843745,kpe,63,16.9500,
50,42054,2817674;2817675,ac,100,10.8300,
51,42059,2827630;2827631;86679289,ac,100,54.9200,
52,43056,1361039;1371850;1371851;2820301;2820302,ac,80,83.8500,1
53,43061,1411267;1411268;6289665,ac,125,38.1500,
54,43067,6283434;6283435,ac,100,14.8700,
55,43068,1352673;1352674,ov,100,78.5600,
56,43075,1357584;1357585;1394691;1394692;2824662;2824663,ac,100,56.5800,
57,43086,1357170;1360376;1385881;1385882;1392774;1392782;1392783;1410244;1410245;2810609;2810610,kpe,110,125.1400,
58,43088,2824569;2824570,ac,125,1.2000,
59,41242,1379653;1379657;1379662;2833032;2833033;6274115;6274116,ov,80,58.0400,
60,41255,2832952;2832953;6274474;6274475,ac,80,41.0600,
61,41257,2832946;2832947,ov,80,42.4100,
62,41262,1371311;1379744;1379745;1397506;2832933;2832934,ac,50,86.5700,1
63,42272,1351449;1351453;1351462;1351463;1351474;1351483;1351488;1353064;1353069;1353079;1353091;1353097;1353103;1353109;1353115;1353121;1353127;1353132;1353133;1389069;1389070;2842032;2842033;36618652;36618653,kpe,90,250.6900,15
64,42276,1374296;1374297;45442367,a,400,195.3300,3
65,42534,2811741;6283446;6283447,ac,150,20.7600,
66,42535,2825913;2825914,ac,150,5.3800,1
67,42537,1401972;1401979;1401980,ac,150,82.7400,2
68,42540,1401962;2825828;2825829,ac,150,125.5000,
69,42542,1401916;1401923;1401930;1401931;1401937;1401942;1401947;1401952;1401956;1401957;6289964;6289973,ov,80,131.3000,1
70,43578,1356955;1356961;6274231;6274232;6274238;6274239,ac,80,52.8100,1
71,43581,2809426;2809427,ov,100,6.0000,
72,43582,1349194;1372158;1372177;1372178;1372183;1372184;1372201;1372207;1372208;1373597;1373598;1375171;1375172;2845495;2845496;6289843;6289844,ov,80,128.1600,
73,43583,2809419;2809420,pvc,110,5.2600,
74,43585,1388261;1388262;2824925;2824926;2824944;2824945,kpe,110,49.6900,
75,43593,1367621;1367625;1367635;1367640;1367655;1367656;1391502;1391503;1405967;1405968;1407922;1407923,kpe,75,210.9900,1
76,43595,1366886;70414138;70414139,ov,80,28.6200,
77,41795,1354111;1354116;1354122;1393100;1393101;1394574;1394575;45442434,ac,100,112.1600,1
78,41801,1393861;1402638;1402644;1402650;1402656;1402661;1402662;1402668;2819428;2819429,ov,100,96.6700,2
79,41805,793248,a,600,12.2100,
80,41813,1362783;1362787;1362797;1362798;1372625;1409757;1409758;2842103;2842104,ac,150,223.3900,1
81,41820,2844811;10858327;10858328,ov,80,41.9700,
82,41822,1363147;1363151;1363156;2809863;2809864,kpe,160,61.2800,
83,43117,1366955;1366960;1366965;1366980;1366981;1394653;1394654;2824459;2824460;44116903;44116904,ov,80,78.6700,6
84,42277,1359097;1359102;1359108;1359113;1359118;1359123;2827822;2827823;6289753,ac,200,190.8700,1
85,42278,2812486,ac,200,17.4600,
86,42279,2829584;2829599;2829600,ac,200,19.5900,
87,42299,1359047;1362218;1362222;1362223;2829571;2829572,kpe,110,100.9900,
88,42305,2834199;2834200,kpe,110,42.4000,
89,42308,1362648;2834155;2834156,kpe,90,37.3000,
90,42318,1362608;1362614;1362615;2827761;2827762;2829544;2829545,ac,200,125.5200,1
91,42320,2827717;2827718,ac,200,74.1500,1
92,42321,2827725;2827726,ac,150,45.0800,
93,42322,54684735;54684736,kpe,160,4.6700,
94,42323,1362466;1362471;1362480;1362481;1362492;1362497;1405581;1405582;1407763;1407764;2825872;2825884;2825885,kpe,160,216.0500,1
95,43602,1358312;1358321;1358330;1358331;1366871;1366876;1366882;2842650;2842651;6273909;6273910,ac,50,88.3700,1
96,43617,1358392;1358398;1358403;1358408;1358413;1358417;1358418;2838737;2838738,ac,80,90.3300,
97,40475,1355523;1356711;1356716;1356722;1356728;1356735;1356741;1356747;1356753;1356759;1356765;1356771;1356777;1356783;1356784,ov,50,173.4400,3
98,40485,2811013;2811014,gov,300,97.5600,
99,42840,1370068;1370069;2812428;2812429,ac,100,39.3500,
100,42884,1378296;1378454;1378459;1378464;1378469;1378474;1393326;1393327;2844605;2844606;2846624;2846625,ov,100,142.0600,
101,42886,1390520;2811395;2811396;2844587;2844588,ac,80,69.0000,
102,41022,63868821,ac,250,96.3900,
103,41026,1397396;1411272;1411273,kpe,160,529.1300,
104,43356,2826370;2826371,ov,80,33.6000,
105,43372,2836812;2836813,kpe,160,2.9400,
106,43373,789437,kpe,200,35.4900,
107,43380,1399738;1399748;1399749;1399754;1399755;2835436;2835437,kpe,90,136.7000,
108,43383,1350382;1350387;2836760;2836761;2836782;2836783,kpe,110,68.5500,
109,43386,1371134;2811972;2811973,kpe,110,76.0600,
110,43387,1399726;2815191;2815192;2836748;2836749,kpe,160,81.6200,
111,43397,1375553;1399659;1399664;1399670;1399675;1399676;1399682;1399688;1399700;1399705;1399706;1399711;1399712;10859070;10859071,kpe,110,178.7100,
112,42548,1350053;1401900;1401905;1401910;1401911,ac,150,69.8000,1
