   ,TELEPULES,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
1,acsad,4531677,4542653,a,150,2.1000,
2,acsad,4531683,4543544;4884136;4884153;4884154,km,150,861.3500,
3,acsad,4531692,4884148;27783163;27783164,km,150,311.3200,
4,acsad,4531695,27783154;27783155,km,150,36.1200,
5,acsad,4531698,4884142;4884143,km,150,108.6100,
6,acsad,4531707,4542712,km,150,11.0900,
7,acsad,4531710,17888247;17888248,km,100,1091.7600,
8,acsad,4531713,4542749,km,100,3.2000,
9,acsad,4531716,4885075;4885076;4885081;4885082,km,100,144.0800,
10,acsad,4531719,4542751,a,100,9.2200,
11,acsad,4531749,4884557;4898591;4898592,km,150,64.6600,
12,acsad,4531761,4884205;4884212;4884218;4884219;4884224;4884225;4884230;4884231;4884236;4884237;4884243;4884255;4884256;4884262;4884305;4884318;4884319;4884324;4884325;4884392;4884397;4885143;4885154;4885155;4898633;4898634;4898658;4898659;6269047;6269048;6269053;6269054;6269059;6269060;6269071;6269072;6269083;6269084;17619844;17619845,km,100,463.4500,
13,acsad,4531830,4884297;4884345;4884372;4884373;4898619;4898620,km,150,142.0400,
14,acsad,4531836,4884283;4884403;4898605;4898606,ac,100,72.6000,
15,acsad,4531917,4884338;4884352;4884359;4884366;4898626;4898627;4898640;4898641;6269077;6269078,km,150,116.5700,
16,acsad,4531923,4884424;4884430;4884436;4884443;4884453;4884458;4884464;4884474;4884480;4884481;4884486;4884498;4885148;4885149;4898612;6269089;6269090;6269095;6269096,km,150,311.1800,
17,acsad,4531986,4898578;6269101;6269102,km,150,81.5900,
18,acsad,4532004,4884525;4884569;4884570;4884587;4884607;4884613;4884624;4884642;4884648;4884649;4884654;4884660;4884661;4884666;4884667;4884672;4884673;4884678;4884679;4884684;4884691;4884732;4884733;4884739;4885088;4885093;4885094;4885111;4885112;4885117;4885123;4885124;4885129;4885130;4885160;4885161;4885166;4885167;4898597;4898598;6269109;6269110;6269115;6269116;6269121;6269122;15259183;15259184,km,100,501.6800,
19,acsad,4532007,4542832,km,150,27.9300,
20,acsad,4532046,4884545;4884546;4884551;4884770;4898529;4898535;4898536;6269128;17619899;17619900;40571828;40571829,km,150,196.6100,
21,acsad,4532325,4885040;4885058;4885064;4898646;4898647,km,100,177.9500,
22,acsad,4532358,4884953;4884960;4884967;4884988;4885008;4885015;4885021;4885027;4885028;4885033;4885045;4885051;4885052;4885184;4885185;4885190;4885191;4898652;4898653;6269273;6269274,km,100,175.9800,
23,acsad,34605307,4884837;4884844;4898517;4898523;4898524;4898585;4898586;6269133;6269134;34605305,km,100,129.2900,
24,acsad,34605308,4884825;4884831;4884855;4884861;4884862;4884905;4884917;4884922;4884934;4884935;4884941;4884946;4885173;6269145;6269146;6269151;6269157;6269158;6269163;6269164;6269169;6269175;6269181;6269182;6269187;6269188;6269193;6269194;6269200;6269205;6269206;6269225;6269226;6269231;6269232;6269237;6269238;6269243;6269244;6269249;6269255;6269261;6269262;6269267;6269268;18898844;18898845;34605306,km,100,381.1600,
25,acsad,40571839,40571838,km,150,115.0900,
26,agfalva,39938,1431413;1431419;1431424;1435140;2848290;2848291;2848318;2848319,ac,100,118.5500,1
27,agfalva,39939,1433968;1433973;1433983;1433988;1433993;1433998;1434494;1434495;1435050;1435155;1435156;1435161;1435174;1435175;1435268;1435280;1435281;1435729;1435730;1435735;1435736;1435913;1435925;1435938;1435939;2848499;2848500;13580252;13580253;28855428;28855429;42270942;42270943;86578000;86578001,ac,80,384.2600,1
28,agfalva,39940,1429911;1429915;1429919;1429920,kpe,110,43.4600,
29,agfalva,39941,1430586;1435983;1435984;2848473;2848474,kpe,110,38.0700,
30,agfalva,39942,1430591;1430596;1430614;1430627;1430644;1430645;1430650;1430651;1430656;1430662;1430663;1430668;1430669;1430674;1434020;1434021;1434716;1434717;1435359;1435360;2848589;2848590,ac,100,250.3400,
31,agfalva,39943,1429890;1429895;1429900;1429905;1429906;2848480;2848481,kpe,160,101.9600,
32,agfalva,39944,1427087;1427088,kpe,160,16.9700,
33,agfalva,39945,1435326;2848247;2848248;6289781;6289782,kpe,160,148.6100,
34,agfalva,39946,1426980;1426984;1426994;1427000;1427006;1427012;1427024;1427025;1427030;1427042;1427043;1427048;1427049;2848518;2848519,ac,80,156.5900,1
35,agfalva,39952,2848531;2848532,kpe,110,36.9900,
36,agfalva,39953,1431311;1431312;1431347;2848383;2848384,ac,80,45.7800,
37,agfalva,39960,1430401;1430681;1431241;1431242;2848370;2848371,ac,100,95.5500,
38,agfalva,39961,2848671;2848672,kpe,160,11.3100,
39,agfalva,39964,2848704;2848705,kpe,110,17.2700,
40,agfalva,39965,1427095;1427096,kpe,90,30.3900,
41,agfalva,39966,1433194;2848685;2848686,kpe,90,29.2700,
42,agfalva,39968,1434038;1435870;1435876;1435883;1435889;1435895;1435896,ac,100,101.4600,
43,agfalva,39969,2848747;2848748,ac,100,69.2500,
44,agfalva,39970,2848061;2848062,ac,100,11.0600,
45,agfalva,39972,1429733;1429739;1429743;1429744;1429754;1429755;1431452;1431457;1431458;1433250;1433251,kpe,90,78.5800,
46,agfalva,39976,1426177;1426182;1426183;1426190;1426196;1426236;1426237;1435341;1435342;1435988;1435989;2848333;2848334,ac,150,180.3900,
